machine_id,timestamp,temperature_C,vibration_mm_s,rpm,current_A,status
CNC_01,2026-04-10T07:10:02.966Z,73.78,1.82,1469,12.51,running
CNC_01,2026-04-10T07:11:02.966Z,70.04,1.87,1460,12.34,running
CNC_01,2026-04-10T07:12:02.966Z,74.09,1.8,1467,12.28,running
CNC_01,2026-04-10T07:13:02.966Z,72.4,1.76,1489,12.15,running
CNC_01,2026-04-10T07:14:02.966Z,72.18,1.84,1464,12.5,running
CNC_01,2026-04-10T07:15:02.966Z,72.47,1.73,1490,12.16,running
CNC_01,2026-04-10T07:16:02.966Z,72.81,1.73,1494,12.66,running
CNC_01,2026-04-10T07:17:02.966Z,72.8,1.74,1488,12.6,running
CNC_01,2026-04-10T07:18:02.966Z,70.75,1.81,1481,12.29,running
CNC_01,2026-04-10T07:19:02.966Z,72.93,1.77,1490,12.71,running
CNC_01,2026-04-10T07:20:02.966Z,72.7,1.83,1470,12.7,running
CNC_01,2026-04-10T07:21:02.966Z,74.09,1.84,1470,12.42,running
CNC_01,2026-04-10T07:22:02.966Z,70.47,1.75,1496,12.5,running
CNC_01,2026-04-10T07:23:02.966Z,72.33,1.77,1484,12.57,running
CNC_01,2026-04-10T07:24:02.966Z,72.81,1.8,1501,12.59,running
CNC_01,2026-04-10T07:25:02.966Z,70.69,1.74,1493,12.19,running
CNC_01,2026-04-10T07:26:02.966Z,70.17,1.76,1501,12.33,running
CNC_01,2026-04-10T07:27:02.966Z,71.38,1.73,1462,12.79,running
CNC_01,2026-04-10T07:28:02.966Z,71.37,1.84,1481,12.36,running
CNC_01,2026-04-10T07:29:02.966Z,72.42,1.75,1493,12.3,running
CNC_01,2026-04-10T07:30:02.966Z,73.01,1.79,1484,12.81,running
CNC_01,2026-04-10T07:31:02.966Z,72.35,1.82,1468,12.39,running
CNC_01,2026-04-10T07:32:02.966Z,72.76,1.76,1493,12.41,running
CNC_01,2026-04-10T07:33:02.966Z,73.38,1.76,1499,12.14,running
CNC_01,2026-04-10T07:34:02.966Z,72.39,1.85,1475,12.54,running
CNC_01,2026-04-10T07:35:02.966Z,72.31,1.73,1474,12.61,running
CNC_01,2026-04-10T07:36:02.966Z,73.76,1.87,1467,12.34,running
CNC_01,2026-04-10T07:37:02.966Z,72.12,1.84,1459,12.83,running
CNC_01,2026-04-10T07:38:02.966Z,73.22,1.75,1474,12.4,running
CNC_01,2026-04-10T07:39:02.966Z,69.98,1.74,1489,12.62,running
CNC_01,2026-04-10T07:40:02.966Z,73.46,1.75,1473,12.73,running
CNC_01,2026-04-10T07:41:02.966Z,70.45,1.8,1492,12.14,running
CNC_01,2026-04-10T07:42:02.966Z,71.74,1.77,1471,12.48,running
CNC_01,2026-04-10T07:43:02.966Z,73.39,1.86,1482,12.33,running
CNC_01,2026-04-10T07:44:02.966Z,71.67,1.83,1477,12.69,running
CNC_01,2026-04-10T07:45:02.966Z,73.92,1.81,1467,12.7,running
CNC_01,2026-04-10T07:46:02.966Z,73.88,1.75,1488,12.29,running
CNC_01,2026-04-10T07:47:02.966Z,73.56,1.85,1474,12.65,running
CNC_01,2026-04-10T07:48:02.966Z,70.29,1.82,1466,12.6,running
CNC_01,2026-04-10T07:49:02.966Z,71.96,1.8,1489,12.25,running
CNC_01,2026-04-10T07:50:02.966Z,73.43,1.76,1475,12.41,running
CNC_01,2026-04-10T07:51:02.966Z,70.24,1.77,1491,12.84,running
CNC_01,2026-04-10T07:52:02.966Z,70.03,1.8,1467,12.33,running
CNC_01,2026-04-10T07:53:02.966Z,71.08,1.83,1497,12.74,running
CNC_01,2026-04-10T07:54:02.966Z,73.25,1.81,1482,12.36,running
CNC_01,2026-04-10T07:55:02.966Z,74.07,1.73,1497,12.36,running
CNC_01,2026-04-10T07:56:02.966Z,71.29,1.78,1463,12.68,running
CNC_01,2026-04-10T07:57:02.966Z,70.01,1.81,1472,12.36,running
CNC_01,2026-04-10T07:58:02.966Z,72.42,1.75,1469,12.8,running
CNC_01,2026-04-10T07:59:02.966Z,72.97,1.84,1477,12.28,running
CNC_01,2026-04-10T08:00:02.966Z,72.72,1.75,1483,12.4,running
CNC_01,2026-04-10T08:01:02.966Z,73.54,1.77,1501,12.69,running
CNC_01,2026-04-10T08:02:02.966Z,71.14,1.86,1478,12.16,running
CNC_01,2026-04-10T08:03:02.966Z,71.89,1.85,1475,12.67,running
CNC_01,2026-04-10T08:04:02.966Z,71.27,1.74,1472,12.27,running
CNC_01,2026-04-10T08:05:02.966Z,70.69,1.78,1496,12.67,running
CNC_01,2026-04-10T08:06:02.966Z,71.45,1.82,1493,12.53,running
CNC_01,2026-04-10T08:07:02.966Z,70.84,1.79,1458,12.83,running
CNC_01,2026-04-10T08:08:02.966Z,70.5,1.8,1498,12.3,running
CNC_01,2026-04-10T08:09:02.966Z,72.26,1.81,1462,12.46,running
CNC_01,2026-04-10T08:10:02.966Z,69.89,1.83,1470,12.46,running
CNC_01,2026-04-10T08:11:02.966Z,73.94,1.74,1470,12.15,running
CNC_01,2026-04-10T08:12:02.966Z,72.94,1.85,1459,12.71,running
CNC_01,2026-04-10T08:13:02.966Z,73.24,1.75,1494,12.64,running
CNC_01,2026-04-10T08:14:02.966Z,70.38,1.85,1492,12.28,running
CNC_01,2026-04-10T08:15:02.966Z,71.43,1.78,1480,12.77,running
CNC_01,2026-04-10T08:16:02.966Z,70.87,1.78,1473,12.71,running
CNC_01,2026-04-10T08:17:02.966Z,73.6,1.73,1477,12.16,running
CNC_01,2026-04-10T08:18:02.966Z,72.4,1.78,1479,12.67,running
CNC_01,2026-04-10T08:19:02.966Z,70.74,1.82,1483,12.71,running
CNC_01,2026-04-10T08:20:02.966Z,73.03,1.8,1476,12.81,running
CNC_01,2026-04-10T08:21:02.966Z,73.6,1.84,1481,12.14,running
CNC_01,2026-04-10T08:22:02.966Z,72.42,1.84,1495,12.15,running
CNC_01,2026-04-10T08:23:02.966Z,73.46,1.85,1486,12.26,running
CNC_01,2026-04-10T08:24:02.966Z,72.2,1.84,1501,12.68,running
CNC_01,2026-04-10T08:25:02.966Z,70.83,1.74,1482,12.46,running
CNC_01,2026-04-10T08:26:02.966Z,70.57,1.82,1465,12.65,running
CNC_01,2026-04-10T08:27:02.966Z,73.79,1.87,1476,12.38,running
CNC_01,2026-04-10T08:28:02.966Z,73.67,1.84,1475,12.13,running
CNC_01,2026-04-10T08:29:02.966Z,70.86,1.77,1464,12.36,running
CNC_01,2026-04-10T08:30:02.966Z,71.98,1.84,1496,12.28,running
CNC_01,2026-04-10T08:31:02.966Z,73.3,1.82,1496,12.3,running
CNC_01,2026-04-10T08:32:02.966Z,73.97,1.77,1489,12.83,running
CNC_01,2026-04-10T08:33:02.966Z,72.24,1.81,1481,12.23,running
CNC_01,2026-04-10T08:34:02.966Z,74.06,1.79,1478,12.42,running
CNC_01,2026-04-10T08:35:02.966Z,71.54,1.84,1493,12.82,running
CNC_01,2026-04-10T08:36:02.966Z,71.41,1.74,1502,12.43,running
CNC_01,2026-04-10T08:37:02.966Z,72.25,1.84,1489,12.68,running
CNC_01,2026-04-10T08:38:02.966Z,73.4,1.8,1466,12.84,running
CNC_01,2026-04-10T08:39:02.966Z,73.17,1.86,1484,12.29,running
CNC_01,2026-04-10T08:40:02.966Z,70.52,1.82,1490,12.15,running
CNC_01,2026-04-10T08:41:02.966Z,73.44,1.86,1469,12.49,running
CNC_01,2026-04-10T08:42:02.966Z,73.46,1.74,1492,12.56,running
CNC_01,2026-04-10T08:43:02.966Z,72.09,1.81,1475,12.33,running
CNC_01,2026-04-10T08:44:02.966Z,70.9,1.87,1501,12.34,running
CNC_01,2026-04-10T08:45:02.966Z,72.9,1.74,1500,12.3,running
